,id,full_name,first_name,last_name,is_active
2515,77334,Mark Landsberger,Mark,Landsberger,False
2516,77335,Jerome Lane,Jerome,Lane,False
2517,457,Andrew Lang,Andrew,Lang,False
2518,226,Antonio Lang,Antonio,Lang,False
2519,2591,James Lang,James,Lang,False
2520,1892,Trajan Langdon,Trajan,Langdon,False
2521,101247,Keith Langford,Keith,Langford,False
2522,1629641,Romeo Langford,Romeo,Langford,True
2523,2061,Dan Langhi,Dan,Langhi,False
2524,600005,Bob Lanier,Bob,Lanier,False
2525,77338,Stu Lantz,Stu,Lantz,False
2526,1627879,Nicolas Laprovittola,Nicolas,Laprovittola,False
2527,77339,York Larese,York,Larese,False
2528,203499,Shane Larkin,Shane,Larkin,False
2529,77341,John Laskowski,John,Laskowski,False
2530,201186,Stephane Lasme,Stephane,Lasme,False
2531,77342,Dave Lattin,Dave,Lattin,False
2532,968,Priest Lauderdale,Priest,Lauderdale,False
2533,77344,Rich Laurel,Rich,Laurel,False
2534,77345,Walt Lautenbach,Walt,Lautenbach,False
2535,203530,Joffrey Lauvergne,Joffrey,Lauvergne,False
2536,77346,Tony Lavelli,Tony,Lavelli,False
2537,77347,Bob Lavoy,Bob,Lavoy,False
2538,201151,Acie Law,Acie,Law,False
2539,1629724,Vic Law,Vic,Law,False
2540,202371,Gani Lawal,Gani,Lawal,False
2541,77348,Ed Lawrence,Ed,Lawrence,False
2542,1630639,A.J. Lawson,A.J.,Lawson,True
2543,1535,Jason Lawson,Jason,Lawson,False
2544,201951,Ty Lawson,Ty,Lawson,False
2545,1627774,Jake Layman,Jake,Layman,False
2546,77350,Dennis Layton,Dennis,Layton,False
2547,1627747,Caris LeVert,Caris,LeVert,True
2548,1628388,T.J. Leaf,T.J.,Leaf,False
2549,77351,Emanuel Leaks,Emanuel,Leaks,False
2550,77352,Hal Lear,Hal,Lear,False
2551,77353,Allen Leavell,Allen,Leavell,False
2552,77354,Jeff Lebo,Jeff,Lebo,False
2553,287,Eric Leckner,Eric,Leckner,False
2554,1629665,Jalen Lecque,Jalen,Lecque,False
2555,203495,Ricky Ledo,Ricky,Ledo,False
2556,77356,Butch Lee,Butch,Lee,False
2557,77357,Clyde Lee,Clyde,Lee,False
2558,201584,Courtney Lee,Courtney,Lee,False
2559,1627814,Damion Lee,Damion,Lee,True
2560,101135,David Lee,David,Lee,False
2561,77358,Doug Lee,Doug,Lee,False
2562,77359,George Lee,George,Lee,False
2563,77360,Greg Lee,Greg,Lee,False
2564,77361,Keith Lee,Keith,Lee,False
2565,77362,Kurk Lee,Kurk,Lee,False
2566,202723,Malcolm Lee,Malcolm,Lee,False
2567,77363,Rock Lee,Rock,Lee,False
2568,77364,Ron Lee,Ron,Lee,False
2569,77365,Russell Lee,Russell,Lee,False
2570,1630240,Saben Lee,Saben,Lee,True
2571,77366,Ed Leede,Ed,Leede,False
2572,77367,Hank Lefkowitz,Hank,Lefkowitz,False
2573,100,Tim Legler,Tim,Legler,False
2574,77369,George Lehmann,George,Lehmann,False
2575,1627215,Walt Lemon Jr.,Walt,Lemon Jr.,False
2576,203458,Alex Len,Alex,Len,True
2577,702,Voshon Lenard,Voshon,Lenard,False
2578,77371,Bob Leonard,Bob,Leonard,False
2579,77370,Gary Leonard,Gary,Leonard,False
2580,202695,Kawhi Leonard,Kawhi,Leonard,True
2581,203086,Meyers Leonard,Meyers,Leonard,False
2582,77372,Jim Les,Jim,Les,False
2583,202727,Travis Leslie,Travis,Leslie,False
2584,77373,Ronnie Lester,Ronnie,Lester,False
2585,77374,Clifford Lett,Clifford,Lett,False
2586,202720,Jon Leuer,Jon,Leuer,False
2587,77375,Andrew Levane,Andrew,Levane,False
2588,77376,Lafayette Lever,Lafayette,Lever,False
2589,77377,Cliff Levingston,Cliff,Levingston,False
2590,77385,Bobby Lewis,Bobby,Lewis,False
2591,736,Cedric Lewis,Cedric,Lewis,False
2592,77379,Fred Lewis,Fred,Lewis,False
2593,77380,Freddie Lewis,Freddie,Lewis,False
2594,77381,Grady Lewis,Grady,Lewis,False
2595,1631171,Justin Lewis,Justin,Lewis,True
2596,729,Martin Lewis,Martin,Lewis,False
2597,1641721,Maxwell Lewis,Maxwell,Lewis,True
2598,1900,Quincy Lewis,Quincy,Lewis,False
2599,77383,Ralph Lewis,Ralph,Lewis,False
2600,1740,Rashard Lewis,Rashard,Lewis,False
2601,77384,Reggie Lewis,Reggie,Lewis,False
2602,1630575,Scottie Lewis,Scottie,Lewis,False
2603,1630184,Kira Lewis Jr.,Kira,Lewis Jr.,True
2604,77386,Marcus Liberty,Marcus,Liberty,False
2605,77387,Todd Lichti,Todd,Lichti,False
2606,1630604,E.J. Liddell,E.J.,Liddell,True
2607,202732,DeAndre Liggins,DeAndre,Liggins,False
2608,77388,Bill Ligon,Bill,Ligon,False
2609,203081,Damian Lillard,Damian,Lillard,True
2610,202391,Jeremy Lin,Jeremy,Lin,False
2611,77389,Steve Lingenfelter,Steve,Lingenfelter,False
2612,175,Alton Lister,Alton,Lister,False
2613,1629642,Nassir Little,Nassir,Little,True
2614,1641726,Dereck Lively II,Dereck,Lively II,True
2615,1630587,Isaiah Livers,Isaiah,Livers,True
2616,1641753,Chris Livingston,Chris,Livingston,True
2617,988,Randy Livingston,Randy,Livingston,False
2618,2733,Shaun Livingston,Shaun,Livingston,False
2619,77392,Ron Livingstone,Ron,Livingstone,False
2620,1024,Horacio Llamas,Horacio,Llamas,False
2621,77394,Earl Lloyd,Earl,Lloyd,False
2622,77395,Lewis Lloyd,Lewis,Lloyd,False
2623,77396,Scott Lloyd,Scott,Lloyd,False
2624,77397,Bob Lochmueller,Bob,Lochmueller,False
2625,77398,Robert Lock,Robert,Lock,False
2626,77399,Darrell Lockhart,Darrell,Lockhart,False
2627,1100,Ian Lockhart,Ian,Lockhart,False
2628,77401,Kevin Loder,Kevin,Loder,False
2629,77402,Don Lofgran,Don,Lofgran,False
2630,1629155,Zach Lofton,Zach,Lofton,False
